x,σH2_cathode,σO2_anode
1.83e-5,0.9486395702269231,0.3828999077575414
1.84e-5,0.9493383574664432,0.3812087997571836
1.85e-5,0.9500391129999509,0.379541867077255
1.86e-5,0.9507418096018618,0.37789916707738086
1.87e-5,0.9514464199711766,0.3762807562202092
1.88e-5,0.9521529167325431,0.37468669007205996
1.89e-5,0.9528612724373197,0.373117023303589
1.9e-5,0.9535714595646408,0.371571809690465
1.91e-5,0.954283450522488,0.3700511021140596
1.92e-5,0.9549972176487597,0.3685549525621482
1.93e-5,0.9557127332123473,0.3670834121296217
1.94e-5,0.9564299694142123,0.3656365310192075
1.95e-5,0.9571488983884668,0.3642143585421992
1.96e-5,0.9578694922034553,0.3628169431191936
1.97e-5,0.95859172286284,0.3614443322808342
1.98e-5,0.959315562306689,0.36009657266856016
1.99e-5,0.9600409824125664,0.3587737100353598
2.0e-5,0.9607679549966249,0.35747578924652823
2.01e-5,0.9614964518147007,0.35620285428042703
2.02e-5,0.9622264445634101,0.3549549482292463
2.03e-5,0.9629579048812501,0.35373211329976684
2.04e-5,0.9636908043497006,0.35253439081412313
2.05e-5,0.9644251144943272,0.3513618212105649
2.06e-5,0.9651608067858889,0.35021444404421703
2.07e-5,0.9658978526414449,0.34909229798783653
2.08e-5,0.9666362234254668,0.34799542083256696
2.09e-5,0.9673758904509504,0.3469238494886872
2.1e-5,0.9681168249805293,0.34587761998635586
2.11e-5,0.9688589982275935,0.3448567674763498
2.12e-5,0.9696023813574058,0.34386132623079596
2.13e-5,0.9703469454882231,0.3428913296438944
2.14e-5,0.9710926616924184,0.34194681023263557
2.15e-5,0.9718395009976046,0.3410277996375058
2.16e-5,0.9725874343877603,0.34013432862318493
2.17e-5,0.9733364328043562,0.33926642707923277
2.18e-5,0.9740864671474854,0.33842412402076455
2.19e-5,0.9748375082769934,0.33760744758911443
2.2e-5,0.9755895270136103,0.33681642505248616
2.21e-5,0.9763424941400843,0.3360510828065918
2.22e-5,0.9770963804023169,0.3353114463752748
2.23e-5,0.9778511565104999,0.33459754041112066
2.24e-5,0.9786067931402523,0.3339093886960508
2.25e-5,0.9793632609337608,0.3332470141419023
2.26e-5,0.98012053050092,0.3326104387909909
2.27e-5,0.9808785724204737,0.331999683816657
2.28e-5,0.9816373572411586,0.3314147695237951
2.29e-5,0.9823968554828492,0.33085571534936514
2.3e-5,0.9831570376377008,0.3303225398628861
2.31e-5,0.9839178741712985,0.3298152607669105
2.32e-5,0.9846793355238034,0.32933389489747983
2.33e-5,0.9854413921111013,0.32887845822456124
2.34e-5,0.9862040143259517,0.32844896585246325
2.35e-5,0.9869671725391389,0.32804543202023173
2.36e-5,0.9877308371006227,0.3276678701020257
2.37e-5,0.98849497834069,0.32731629260747064
2.38e-5,0.989259566571108,0.32699071118199224
2.39e-5,0.9900245720862779,0.32669113660712756
2.4e-5,0.9907899651643882,0.3264175788008142
2.41e-5,0.9915557160685701,0.3261700468176577
2.42e-5,0.9923217950480523,0.3259485488491762
2.43e-5,0.9930881723393178,0.3257530922240226
2.44e-5,0.9938548181672594,0.32558368340818417
2.45e-5,0.9946217027463365,0.3254403280051583
2.46e-5,0.9953887962817328,0.3253230307561061
2.47e-5,0.9961560689705137,0.325231795539982
2.48e-5,0.9969234910027837,0.32516662537363994
2.49e-5,0.9976910325628457,0.3251275224119167
2.5e-5,0.998458663830359,0.3251144879476905
