t,JH2_L,JH2_R,JO2_L,JO2_R,i_cross,MB_resid
16.6000000000001,-5.14130628231792e-12,-8.500794207502099e-5,9.683657939772285e-5,-3.5501300259294004e-12,9.921212963806117e-7,-4.44725062036396e-9
16.6500000000001,-5.121492942614707e-12,-8.467756738931441e-5,9.668705741568487e-5,-3.4726816976611233e-12,9.882979030263612e-7,-4.429237676390092e-9
16.700000000000102,-5.101749508847947e-12,-8.434847962711245e-5,9.653814868629291e-5,-3.3959369736080804e-12,9.844879994672113e-7,-4.41134824228826e-9
16.750000000000103,-5.082083114276461e-12,-8.402067367517825e-5,9.638984804144775e-5,-3.319892802911885e-12,9.80692962212866e-7,-4.393581159995016e-9
16.800000000000104,-5.062482345686136e-12,-8.369414444403433e-5,9.62421503670977e-5,-3.2445436558917126e-12,9.769105888477993e-7,-4.375935335387739e-9
16.850000000000104,-5.042948629728734e-12,-8.336888686758606e-5,9.609505060257955e-5,-3.169883621509442e-12,9.731411546739516e-7,-4.358409558171544e-9
16.900000000000105,-5.0234990862254294e-12,-8.3044895903076e-5,9.594854373996108e-5,-3.0959086955134406e-12,9.693879633146126e-7,-4.341002839093264e-9
16.950000000000106,-5.004103755489169e-12,-8.272216653080992e-5,9.580262482339593e-5,-3.022615445688025e-12,9.656452334290254e-7,-4.3237140117682e-9
17.000000000000107,-4.984792597207005e-12,-8.240069375390866e-5,9.565728894845538e-5,-2.949996816923178e-12,9.619187463579469e-7,-4.3065420497821576e-9
17.050000000000107,-4.965544211602473e-12,-8.208047259812825e-5,9.55125312615364e-5,-2.878049567681864e-12,9.582043725722652e-7,-4.289485829630634e-9
17.100000000000108,-4.946364305282629e-12,-8.176149811171452e-5,9.536834695921194e-5,-2.8067672148900137e-12,9.545032132797433e-7,-4.272544403991982e-9
17.15000000000011,-4.927272851372174e-12,-8.144376536511769e-5,9.522473128763605e-5,-2.7361478517611356e-12,9.508191227075529e-7,-4.255716592874766e-9
17.20000000000011,-4.908232756925236e-12,-8.112726945090104e-5,9.508167954191218e-5,-2.666184423185212e-12,9.471449430052323e-7,-4.239001467226146e-9
17.25000000000011,-4.889269701673572e-12,-8.081200548349278e-5,9.493918706556397e-5,-2.5968717808387184e-12,9.434856296077165e-7,-4.222398005293993e-9
17.30000000000011,-4.8703751257065965e-12,-8.049796859900618e-5,9.4797249249887e-5,-2.5282068738632676e-12,9.398395307033606e-7,-4.205905168249997e-9
17.35000000000011,-4.851554735631368e-12,-8.018515395506845e-5,9.465586153342843e-5,-2.460184553935334e-12,9.362077474999279e-7,-4.189521945292471e-9
17.400000000000112,-4.832799971537298e-12,-7.987355673074935e-5,9.451501940133586e-5,-2.3927985286594963e-12,9.325886281857733e-7,-4.173247493427122e-9
17.450000000000113,-4.8141136867279175e-12,-7.956317212617603e-5,9.437471838489495e-5,-2.3260463192133163e-12,9.289827233647788e-7,-4.157080676762438e-9
17.500000000000114,-4.795504441113811e-12,-7.925399536255585e-5,9.423495406096666e-5,-2.2599210611654262e-12,9.25391684848589e-7,-4.14102059944927e-9
17.550000000000114,-4.776952261570278e-12,-7.894602168198235e-5,9.409572205137088e-5,-2.194420085014738e-12,9.218116584100322e-7,-4.125066332949772e-9
17.600000000000115,-4.758482827829078e-12,-7.86392463471585e-5,9.395701802243346e-5,-2.1295372890444806e-12,9.182475994840439e-7,-4.109216945229546e-9
17.650000000000116,-4.740076166765508e-12,-7.833366464139377e-5,9.38188376844187e-5,-2.0652677156097763e-12,9.146956538434519e-7,-4.093471469126045e-9
17.700000000000117,-4.7217379849866275e-12,-7.802927186839311e-5,9.368117679102287e-5,-2.00160812317359e-12,9.111569226960199e-7,-4.077829050477691e-9
17.750000000000117,-4.7034654291889066e-12,-7.772606335204855e-5,9.354403113889232e-5,-1.938552219340502e-12,9.07630855437866e-7,-4.062288686424581e-9
17.800000000000118,-4.685264205979402e-12,-7.742403443640504e-5,9.340739656707721e-5,-1.876096953252125e-12,9.041185532767535e-7,-4.046849640278443e-9
17.85000000000012,-4.667128608751058e-12,-7.712318048540928e-5,9.327126895652973e-5,-1.8142366045489869e-12,9.006189150049194e-7,-4.031510841389632e-9
17.90000000000012,-4.649064344110931e-12,-7.682349688285842e-5,9.31356442296968e-5,-1.75296621558621e-12,8.971330418301267e-7,-4.016271586815669e-9
17.95000000000012,-4.631071412059022e-12,-7.652497903218608e-5,9.300051834993586e-5,-1.6922831168627072e-12,8.936609337523755e-7,-4.001130839734017e-9
18.00000000000012,-4.613141252684744e-12,-7.622762235635666e-5,9.286588732110746e-5,-1.6321804439471096e-12,8.90200938960021e-7,-3.986087892540128e-9
18.05000000000012,-4.595282425898682e-12,-7.593142229779703e-5,9.273174718709642e-5,-1.5726559086956283e-12,8.867547092647078e-7,-3.971141854480602e-9
18.100000000000122,-4.577489225093781e-12,-7.563637431815388e-5,9.259809403132823e-5,-1.513702455998246e-12,8.833211434586729e-7,-3.956291841225937e-9
18.150000000000123,-4.5597530903594535e-12,-7.534247389820812e-5,9.246492397633425e-5,-1.4553176070325241e-12,8.798985897302713e-7,-3.9415370765686925e-9
18.200000000000124,-4.542099701427458e-12,-7.504971653781505e-5,9.233223318331852e-5,-1.3974954507603402e-12,8.764920035144376e-7,-3.926876710142e-9
18.250000000000124,-4.524500525262507e-12,-7.47580977556817e-5,9.220001785167572e-5,-1.340232745644659e-12,8.730958787723557e-7,-3.912309953107464e-9
18.300000000000125,-4.5069755349893026e-12,-7.446761308930413e-5,9.206827421859305e-5,-1.2835239620046568e-12,8.697140697311969e-7,-3.897836030070795e-9
18.350000000000126,-4.489513317393728e-12,-7.417825809485043e-5,9.19369985586048e-5,-1.2273652862673508e-12,8.663443739754345e-7,-3.883454030166643e-9
18.400000000000126,-4.472116725779315e-12,-7.389002834699231e-5,9.180618718316677e-5,-1.1717523328238115e-12,8.629873421089503e-7,-3.869163332038744e-9
18.450000000000127,-4.454797173360176e-12,-7.360291943883674e-5,9.167583644024887e-5,-1.1166807160651093e-12,8.596451765472711e-7,-3.854963056155189e-9
18.500000000000128,-4.437528980404553e-12,-7.33169269818317e-5,9.154594271391887e-5,-1.062145096989069e-12,8.563129218554617e-7,-3.840852440457378e-9
18.55000000000013,-4.420332120037148e-12,-7.303204660559211e-5,9.14165024239441e-5,-1.0081420433800065e-12,8.529944322606939e-7,-3.826830795338517e-9
18.60000000000013,-4.403192325740316e-12,-7.274827395779723e-5,9.128751202535526e-5,-9.546669789503429e-13,8.496869547435593e-7,-3.8128972408872294e-9
18.65000000000013,-4.386129570638759e-12,-7.246560470417911e-5,9.115896800810772e-5,-9.017155180911487e-13,8.463943435312293e-7,-3.79905114856441e-9
18.70000000000013,-4.3691295882148324e-12,-7.218403452829443e-5,9.103086689666974e-5,-8.492830845148453e-13,8.43113845604296e-7,-3.785291768562942e-9
18.75000000000013,-4.352186671861481e-12,-7.190355913147593e-5,9.09032052495998e-5,-7.973668180416956e-13,8.39844359754996e-7,-3.771618368314522e-9
18.800000000000132,-4.335315088096346e-12,-7.162417423271259e-5,9.077597965923404e-5,-7.459611889908756e-13,8.365886390027374e-7,-3.7580301399530065e-9
18.850000000000133,-4.318503423705313e-12,-7.134587556857258e-5,9.06491867512651e-5,-6.950621931107537e-13,8.333444809319937e-7,-3.744526463097912e-9
18.900000000000134,-4.301771651813084e-12,-7.106865889313484e-5,9.052282318437917e-5,-6.446648727564529e-13,8.301157397699365e-7,-3.731106630903633e-9
18.950000000000134,-4.285082679473784e-12,-7.079251997775216e-5,9.039688564990807e-5,-5.947667491055349e-13,8.268952576661041e-7,-3.7177698947285683e-9
19.000000000000135,-4.26847074632976e-12,-7.051745461113116e-5,9.027137087146488e-5,-5.453630551917716e-13,8.236896418670767e-7,-3.7045156017745905e-9
19.050000000000136,-4.251913025952781e-12,-7.024345859909541e-5,9.014627560458828e-5,-4.964488333702862e-13,8.204944875418008e-7,-3.6913430713253655e-9
19.100000000000136,-4.2354294914675475e-12,-6.997052776458828e-5,9.0021596636372e-5,-4.480212234613418e-13,8.17313648917448e-7,-3.6782515805161998e-9
19.150000000000137,-4.219003023052888e-12,-6.969865794752178e-5,8.989733078515671e-5,-4.0007469578411434e-13,8.141438223707284e-7,-3.66524056114384e-9
19.200000000000138,-4.2026421806193885e-12,-6.942784500471087e-5,8.977347490017754e-5,-3.5260619948021773e-13,8.109866597132872e-7,-3.6523091501020413e-9
19.25000000000014,-4.186332697649405e-12,-6.9158084809785e-5,8.965002586119808e-5,-3.05610776904775e-13,8.078394079257157e-7,-3.6394569413028804e-9
19.30000000000014,-4.17009169396411e-12,-6.888937325304267e-5,8.95269805782052e-5,-2.590857585566987e-13,8.04705370631304e-7,-3.6266830945709885e-9
19.35000000000014,-4.153910609652918e-12,-6.862170624148275e-5,8.940433599110255e-5,-2.1302675882705906e-13,8.015828960184074e-7,-3.6139870502683094e-9
19.40000000000014,-4.137795151322885e-12,-6.835507969859331e-5,8.928208906933824e-5,-1.6742977346422468e-13,7.984730852947888e-7,-3.6013681425049737e-9
19.45000000000014,-4.121748172277541e-12,-6.808948956433745e-5,8.916023681163033e-5,-1.222894634660204e-13,7.9537648906433e-7,-3.5888258023458915e-9
19.500000000000142,-4.105763965909828e-12,-6.78249317950562e-5,8.90387762455992e-5,-7.760449408190238e-14,7.922920061192679e-7,-3.5763593041074435e-9
19.550000000000143,-4.089816852487988e-12,-6.756140236332588e-5,8.891770442753107e-5,-3.3369335631046297e-14,7.892146810246674e-7,-3.563968187139232e-9
19.600000000000144,-4.073958191475537e-12,-6.729889725798955e-5,8.8797018441986e-5,1.0420206816828385e-14,7.901760131448324e-7,-3.5516516478306063e-9
